number,value,datetime_start,datetime_complete,duration,params_bilstm_units,params_dropout_rate,params_learning_rate,state
0,0.03761651739478111,2026-05-22 00:36:30.366355,2026-05-22 00:37:48.340129,0 days 00:01:17.973774,64,0.2,0.001,COMPLETE
1,0.07220795005559921,2026-05-22 00:37:48.340171,2026-05-22 00:39:52.982539,0 days 00:02:04.642368,128,0.2,0.0001,COMPLETE
2,0.06986311078071594,2026-05-22 00:39:52.982582,2026-05-22 00:40:54.813422,0 days 00:01:01.830840,64,0.5,0.0001,COMPLETE
3,0.039169952273368835,2026-05-22 00:40:54.813459,2026-05-22 00:42:00.508462,0 days 00:01:05.695003,64,0.2,0.001,COMPLETE
4,0.06977543234825134,2026-05-22 00:42:00.508499,2026-05-22 00:42:33.238258,0 days 00:00:32.729759,64,0.5,0.0001,COMPLETE
5,0.010774982161819935,2026-05-22 00:42:33.238295,2026-05-22 00:43:35.755766,0 days 00:01:02.517471,64,0.5,0.01,COMPLETE
6,0.05051611363887787,2026-05-22 00:43:35.755803,2026-05-22 00:45:09.847946,0 days 00:01:34.092143,128,0.5,0.001,COMPLETE
7,0.07482951134443283,2026-05-22 00:45:09.847991,2026-05-22 00:45:53.526534,0 days 00:00:43.678543,32,0.3,0.0001,COMPLETE
8,0.04773133248090744,2026-05-22 00:45:53.526570,2026-05-22 00:47:26.866329,0 days 00:01:33.339759,128,0.3,0.001,COMPLETE
9,0.012079665437340736,2026-05-22 00:47:26.866361,2026-05-22 00:48:28.688432,0 days 00:01:01.822071,64,0.5,0.01,COMPLETE
10,0.012202334590256214,2026-05-22 00:48:28.688462,2026-05-22 00:49:11.410655,0 days 00:00:42.722193,32,0.5,0.01,COMPLETE
11,0.008976790122687817,2026-05-22 00:49:11.410686,2026-05-22 00:50:11.389699,0 days 00:00:59.979013,64,0.5,0.01,COMPLETE
12,0.011361646465957165,2026-05-22 00:50:11.389734,2026-05-22 00:51:32.925213,0 days 00:01:21.535479,64,0.5,0.01,COMPLETE
13,0.009584144689142704,2026-05-22 00:51:32.925253,2026-05-22 00:52:31.804604,0 days 00:00:58.879351,64,0.5,0.01,COMPLETE
14,0.014379874803125858,2026-05-22 00:52:31.804636,2026-05-22 00:53:31.911717,0 days 00:01:00.107081,64,0.5,0.01,COMPLETE
